 | 0,5
Bon sang de !... | 2
O’Brian, les données… \n quelque chose les supprime… regarde ! | 4
Tu penses que ça vient de… l’intérieur ? | 2,75
Toi aussi t’as entendu les rumeurs, pas vrai ? | 2
C'était rien de plus que des rumeurs. | 2
J’y ai jamais fait attention… \n Mais en voyant ÇA… | 3,75
Et donc quoi ? Le protocole mentionne jamais un truc pareil ! | 3,25
Je te l’ai déjà dit, éjecte-le du système, par n’importe quel moyen, | 3,55
et coupe l’enregistrement. | 1,5
Si ça dégénère… Je veux même pas y penser. | 4
Je lance une purge étendue ! Il ira pas plus loin. | 3
Bien ! | 1,5
