 | 0.5
ET MERDE ! | 1.3
Il doit bien y avoir un moyen. Et si je… | 2
C’est fini, O’Brian. | 1.75
Tout est en train de partir à vau-l’eau ! | 2.5
Mon dieu, ils vont me- Ils vont reprendre tous mes-  | 2.75
Ou peut-être même me renvoyer dans la Faille et… | 2
Mais l’Unisson est sur le point de \n s’effondrer ! | 2.5
Tu penses que j’en ai quelque chose à foutre Brennan ? | 3.5
J’abandonne, c’est sans espoir. | 2.5
On a pas le droit Sam, il faut s’assurer que Varna soit protégée de… ça. | 5
On doit continuer d’essayer.  | 2
J’espère que tu sais ce que tu fais… | 3
